OrderID,CurrentClinicName1,CurrentClinicName2,CurrentClinicCity,CurrentClinicState,MedicalDirector,ND_NumIntentRet1,ND_NumIntentRet2,ND_NumIntentRet3,ND_NumIntentRet4,ND_IntentRetLB1,ND_IntentRetLB2,ND_IntentRetLB3,ND_IntentRetLB4,ND_IntentRetSingleLB1,ND_IntentRetSingleLB2,ND_IntentRetSingleLB3,ND_IntentRetSingleLB4,ND_NumRetrieve1,ND_NumRetrieve2,ND_NumRetrieve3,ND_NumRetrieve4,ND_RetrieveLB1,ND_RetrieveLB2,ND_RetrieveLB3,ND_RetrieveLB4,ND_RetrieveSingleLB1,ND_RetrieveSingleLB2,ND_RetrieveSingleLB3,ND_RetrieveSingleLB4,ND_NumTrans1,ND_NumTrans2,ND_NumTrans3,ND_NumTrans4,ND_TransLB1,ND_TransLB2,ND_TransLB3,ND_TransLB4,ND_TransSingleLB1,ND_TransSingleLB2,ND_TransSingleLB3,ND_TransSingleLB4,ND_IntentRetPerLB1,ND_IntentRetPerLB2,ND_IntentRetPerLB3,ND_IntentRetPerLB4,NewND_1IntentRetLB1,NewND_1IntentRetLB2,NewND_1IntentRetLB3,NewND_1IntentRetLB4,NewND_2IntentRetLB1,NewND_2IntentRetLB2,NewND_2IntentRetLB3,NewND_2IntentRetLB4,NewND_AllIntentRetLB1,NewND_AllIntentRetLB2,NewND_AllIntentRetLB3,NewND_AllIntentRetLB4,NewND_IntentRetPerNew1,NewND_IntentRetPerNew2,NewND_IntentRetPerNew3,NewND_IntentRetPerNew4,NewND_TransPerIntentRet1,NewND_TransPerIntentRet2,NewND_TransPerIntentRet3,NewND_TransPerIntentRet4,Donor_NumTrans1,Donor_NumTrans2,Donor_NumTrans3,Donor_NumTrans4,Donor_TransLB1,Donor_TransLB2,Donor_TransLB3,Donor_TransLB4,Donor_TranSingleLB1,Donor_TranSingleLB2,Donor_TranSingleLB3,Donor_TranSingleLB4,TotNumCycles1,TotNumCycles2,TotNumCycles3,TotNumCycles4,TotNumCyclesAll,CycleCancel1,CycleCancel2,CycleCancel3,CycleCancel4,CycleCancelAll,CycleStop1,CycleStop2,CycleStop3,CycleStop4,CycleStopAll,CycleFertPres1,CycleFertPres2,CycleFertPres3,CycleFertPres4,CycleFertPresAll,TransCarrier1,TransCarrier2,TransCarrier3,TransCarrier4,TransCarrierAll,TransFrozEmb1,TransFrozEmb2,TransFrozEmb3,TransFrozEmb4,TransFrozEmbAll,TransICSI1,TransICSI2,TransICSI3,TransICSI4,TransICSIAll,TransPGT1,TransPGT2,TransPGT3,TransPGT4,TransPGTAll,ReasonMale,ReasonEndo,ReasonTubal,ReasonOvul,ReasonUterine,ReasonPGT,ReasonCarrier,ReasonDOR,ReasonBank,ReasonPregLoss,ReasonOtherInfert,ReasonNonInfert,ReasonUnexplained,DonorEggService,DonatedEmbryoService,EmbryoCryoService,EggCryoService,GestCarrierService,SARTmember,LabAccred,NumResearch,CurrentStateAbbrev,gcode,point,lat,lon
269,GENESIS FERTILITY & REPRODUCTIVE MEDICINE,,BROOKLYN,NEW YORK,"Richard V. Grazi, MD",126,82,94,96,0.508,36.60%,28.70%,5.20%,0.476,34.10%,28.70%,5.20%,114,75,72,73,56.10%,40.00%,37.50%,6.80%,52.60%,37.30%,37.50%,6.80%,138,72,70,52,46.40%,41.70%,38.60%,9.60%,43.50%,38.90%,38.60%,9.60%,2,2.7,3.5,19.2,61.40%,43.90%,33.30%,13.50%,66.30%,53.70%,41.00%,13.50%,66.30%,61.00%,43.60%,13.50%,1.1,1.4,1.3,1.6,1.2,0.9,0.8,0.6,11,13,47,5,* / 11,13-Jun,38.30%,0 / 5,* / 11,13-Jun,38.30%,0 / 5,332,169,194,279,974,7.50%,15.40%,14.80%,20.50%,14.30%,9.70%,9.70%,18.80%,18.50%,13.90%,4.80%,8.30%,10.80%,2.20%,5.90%,1.60%,0.00%,0.00%,2.10%,1.20%,79.70%,77.40%,73.20%,66.70%,74.50%,0.786,76.20%,75.60%,58.90%,72.10%,0.476,40.50%,53.70%,18.40%,39.10%,39%,9%,22%,0.13,2%,3%,<1%,0.36,30%,5%,16%,2%,8%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,NY,"Brooklyn, Kings County, New York, United States","(40.6501038, -73.9495823, 0.0)",40.6501038,-73.9495823
270,"INFERTILITY & IVF MEDICAL ASSOCIATES OF WESTERN NEW YORK, PLLC DBA",BUFFALO IVF,BUFFALO,NEW YORK,"Adam M. Griffin, MD",194,94,82,53,0.423,35.10%,17.10%,3.80%,0.376,26.60%,17.10%,3.80%,171,80,70,39,48.00%,41.30%,20.00%,5.10%,42.70%,31.30%,20.00%,5.10%,189,85,50,32,43.40%,38.80%,28.00%,6.30%,38.60%,29.40%,28.00%,6.30%,2.4,2.8,5.9,26.5,44.80%,36.40%,18.80%,* / 19,55.20%,38.60%,31.30%,* / 19,57.30%,40.90%,34.40%,* / 19,1.3,1.3,1.7,1.6,1.1,0.9,0.7,0.6,*,20,10,0,* / *,65.00%,* / 10,,* / *,55.00%,* / 10,,284,151,98,95,628,9.20%,13.50%,20.30%,30.60%,15.30%,5.60%,10.20%,12.90%,23.70%,10.20%,4.60%,4.60%,6.10%,0.00%,4.10%,1.00%,0.00%,1.70%,1.90%,1.00%,49.50%,44.10%,44.80%,24.10%,44.30%,0.942,88.20%,91.40%,87.00%,91.50%,0.078,10.80%,17.20%,5.60%,9.50%,43%,8%,11%,0.19,<1%,2%,1%,0.25,18%,7%,2%,0%,9%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,NY,"Buffalo, Erie County, New York, United States","(42.8867166, -78.8783922, 0.0)",42.8867166,-78.8783922
271,ISLAND FERTILITY,"STONY BROOK COMMUNITY MEDICAL, PC",COMMACK,NEW YORK,"James Stelling, MD",0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,*,5,*,,* / *,* / 5,* / *,,* / *,* / 5,* / *,127,87,66,95,375,2.70%,8.20%,10.30%,8.10%,6.70%,12.00%,9.60%,17.70%,28.90%,16.70%,3.90%,2.30%,4.50%,1.10%,2.90%,8.30%,0.00%,0.00%,0.00%,3.40%,69.40%,75.00%,88.90%,66.70%,73.30%,0.458,34.10%,40.70%,27.30%,38.60%,0.347,40.90%,44.40%,42.40%,39.20%,13%,3%,15%,0.12,9%,3%,1%,0.24,43%,8%,9%,3%,23%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,NY,"Commack, Suffolk County, New York, 11725, United States","(40.847727899999995, -73.27512207268637, 0.0)",40.8477279,-73.27512207
272,"HUDSON VALLEY FERTILITY, PLLC",,FISHKILL,NEW YORK,"Daniel W. Levine, MD",46,46,40,32,0.391,15.20%,15.00%,3.10%,0.348,10.90%,15.00%,3.10%,45,45,35,27,40.00%,15.60%,17.10%,3.70%,35.60%,11.10%,17.10%,3.70%,46,24,17,12,39.10%,29.20%,17-Jun,* / 12,34.80%,20.80%,17-Jun,* / 12,2.6,6.6,6.7,32,32.10%,19.00%,10.00%,* / 11,35.70%,23.80%,20.00%,* / 11,35.70%,28.60%,20.00%,* / 11,1.1,1.4,1.4,1.3,1,0.5,0.5,0.4,0,6,*,0,,* / 6,* / *,,,* / 6,* / *,,110,65,74,62,311,13.60%,15.00%,9.50%,26.50%,15.40%,6.90%,10.20%,15.70%,13.20%,10.90%,0.00%,1.50%,2.70%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,98.00%,84.60%,93.10%,80.00%,90.80%,0.9,96.20%,89.70%,84.00%,90.00%,0.62,30.80%,72.40%,28.00%,51.50%,13%,4%,12%,0.56,5%,1%,0%,0.16,43%,10%,3%,<1%,1%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,NY,"Fishkill, Town of Fishkill, Dutchess County, New York, 12524, United States","(41.5355745, -73.898702, 0.0)",41.5355745,-73.898702
273,THE NEW YORK FERTILITY CENTER,,FLUSHING,NEW YORK,"Tony Tsai, MD",112,67,46,74,0.393,20.90%,10.90%,4.10%,0.339,17.90%,8.70%,2.70%,111,65,41,63,39.60%,21.50%,12.20%,4.80%,34.20%,18.50%,9.80%,3.20%,128,61,37,45,34.40%,23.00%,13.50%,6.70%,29.70%,19.70%,10.80%,4.40%,2.5,4.8,9.2,24.7,54.20%,* / 15,* / 9,* / 7,58.30%,* / 15,* / 9,* / 7,58.30%,* / 15,* / 9,* / 7,1.2,1.3,1.3,2,1.1,0.7,0.9,0.7,0,0,24,0,,,20.80%,,,,12.50%,,150,82,61,117,410,4.60%,7.30%,2.00%,17.80%,8.00%,27.60%,24.40%,35.00%,28.80%,28.40%,2.00%,4.90%,1.60%,0.90%,2.20%,0.00%,0.00%,0.00%,0.00%,0.00%,40.20%,49.10%,32.40%,61.10%,46.60%,1,100.00%,100.00%,100.00%,100.00%,0.049,1.80%,5.40%,1.40%,3.40%,12%,3%,7%,0.13,5%,6%,0%,0.15,2%,0%,16%,1%,21%,Yes,No,Yes,Yes,No,No,Yes,0,NY,"Flushing, Queens, Queens County, New York, 11354, United States","(40.7654301, -73.8174291, 0.0)",40.7654301,-73.8174291
274,MONTEFIORE'S INSTITUTE FOR REPRODUCTIVE MEDICINE AND HEALTH,,HARTSDALE,NEW YORK,"Harry J. Lieman, MD",46,30,42,42,0.435,43.30%,23.80%,0.00%,0.37,40.00%,19.00%,0.00%,44,27,32,34,45.50%,48.10%,31.30%,0.00%,38.60%,44.40%,25.00%,0.00%,52,30,25,19,38.50%,43.30%,40.00%,0 / 19,32.70%,40.00%,32.00%,0 / 19,2.3,2.3,4.2,,50.00%,47.80%,16.70%,0 / 15,50.00%,47.80%,20.80%,0 / 15,52.80%,47.80%,20.80%,0 / 15,1.2,1.1,1.2,1.7,1.1,1,0.5,0.3,*,*,*,*,* / *,* / *,* / *,0 / *,* / *,* / *,* / *,0 / *,98,86,57,90,331,3.60%,11.80%,5.40%,9.80%,7.80%,13.50%,18.80%,20.00%,20.20%,17.80%,5.10%,4.70%,5.30%,3.30%,4.50%,1.80%,4.30%,0.00%,0.00%,1.60%,71.90%,59.60%,60.70%,47.10%,60.10%,0.684,70.20%,64.30%,52.90%,63.90%,0.211,31.90%,28.60%,9.80%,21.90%,21%,8%,24%,0.12,14%,6%,1%,0.29,24%,5%,18%,6%,13%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,NY,"Hartsdale, Town of Greenburgh, Westchester County, New York, United States","(41.0130875, -73.80848138929805, 0.0)",41.0130875,-73.80848139
275,"BOSTON IVF, THE ALBANY CENTER",,LOUDONVILLE,NEW YORK,"Sonia Elguero, MD",148,62,82,55,0.459,27.40%,20.70%,7.30%,0.392,25.80%,15.90%,5.50%,145,58,73,47,46.90%,29.30%,23.30%,8.50%,40.00%,27.60%,17.80%,6.40%,172,45,42,23,39.50%,37.80%,40.50%,17.40%,33.70%,35.60%,31.00%,13.00%,2.2,3.6,4.8,13.8,53.30%,38.10%,23.50%,0 / 16,61.10%,42.90%,26.50%,0 / 16,62.20%,42.90%,32.40%,* / 16,1.2,1.3,1.5,1.8,1.2,0.9,0.5,0.3,0,0,*,0,,,* / *,,,,* / *,,265,123,111,51,550,2.70%,4.20%,15.40%,17.50%,7.60%,18.40%,22.50%,30.30%,18.20%,21.60%,3.00%,4.10%,2.70%,3.90%,3.30%,0.00%,0.00%,0.00%,0.00%,0.00%,59.10%,66.20%,58.70%,44.00%,59.30%,0.341,32.30%,34.80%,52.00%,35.30%,0.233,30.80%,37.00%,12.00%,26.00%,26%,9%,13%,0.18,1%,4%,0%,0.19,24%,5%,10%,4%,19%,No,No,Yes,Yes,No,Yes,Yes,0,NY,"Loudonville, Town of Colonie, Albany County, New York, 12211, United States","(42.7048009, -73.7548424, 0.0)",42.7048009,-73.7548424
276,NORTHWELL HEALTH FERTILITY,,MANHASSET,NEW YORK,"Christine M. Mullin, MD",288,157,188,170,0.545,36.90%,19.10%,13.50%,0.51,35.00%,17.60%,12.90%,282,148,166,149,55.70%,39.20%,21.70%,15.40%,52.10%,37.20%,19.90%,14.80%,280,126,90,58,56.10%,46.00%,40.00%,39.70%,52.50%,43.70%,36.70%,37.90%,1.8,2.7,5.2,7.4,60.10%,40.20%,20.80%,8.00%,69.70%,47.80%,29.20%,14.70%,71.20%,48.90%,30.20%,14.70%,1.2,1.3,1.4,1.5,1,0.8,0.5,0.3,10,7,58,*,* / 10,* / 7,43.10%,0 / *,* / 10,* / 7,32.80%,0 / *,583,411,346,352,1692,5.10%,9.70%,8.90%,14.50%,9.10%,8.50%,7.20%,10.60%,12.70%,9.40%,12.50%,10.70%,7.50%,2.60%,9.00%,0.70%,0.00%,0.60%,1.80%,0.70%,89.10%,88.70%,85.00%,75.00%,85.40%,0.937,94.60%,88.00%,84.10%,90.90%,0.719,74.40%,67.10%,53.00%,67.80%,22%,4%,8%,0.09,3%,4%,<1%,0.18,38%,6%,18%,2%,21%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,NY,"Manhasset, North Hempstead, Nassau County, New York, United States","(40.78651175, -73.696536513665, 0.0)",40.78651175,-73.69653651
277,RMA LONG ISLAND IVF,,MELVILLE,NEW YORK,"Beth McAvey, MD",191,144,147,158,0.471,34.70%,28.60%,5.70%,0.461,31.30%,23.10%,5.10%,182,128,135,125,49.50%,39.10%,31.10%,7.20%,48.40%,35.20%,25.20%,6.40%,210,132,102,74,42.90%,37.90%,41.20%,12.20%,41.90%,34.10%,33.30%,10.80%,2.1,2.9,3.5,17.6,48.80%,34.70%,31.10%,8.60%,58.90%,40.30%,36.50%,12.90%,59.70%,45.80%,41.90%,12.90%,1.2,1.4,1.4,1.5,1.1,1,0.7,0.5,13,23,53,11,13-Sep,30.40%,30.20%,11-May,13-Jun,30.40%,28.30%,11-May,509,305,329,340,1483,2.20%,8.80%,7.40%,11.40%,7.00%,9.30%,7.20%,10.20%,20.20%,11.50%,3.50%,3.00%,1.50%,0.30%,2.20%,0.00%,0.60%,1.20%,2.30%,0.90%,73.80%,75.30%,69.00%,55.60%,69.30%,0.877,75.90%,83.90%,72.50%,81.20%,0.368,39.70%,45.20%,17.50%,35.10%,25%,6%,17%,0.13,9%,17%,<1%,0.22,35%,5%,18%,1%,13%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,NY,"Melville, Suffolk County, New York, 11747, United States","(40.7862225, -73.40799498062145, 0.0)",40.7862225,-73.40799498
278,NYU LANGONE REPRODUCTIVE SPECIALISTS OF NEW YORK,,MINEOLA,NEW YORK,"Maria Saketos, MD",176,156,190,193,0.534,36.50%,25.80%,8.80%,0.477,33.30%,23.70%,7.80%,168,146,174,163,56.00%,39.00%,28.20%,10.40%,50.00%,35.60%,25.90%,9.20%,190,135,135,88,49.50%,42.20%,36.30%,19.30%,44.20%,38.50%,33.30%,17.00%,1.9,2.7,3.9,11.4,56.10%,46.90%,31.00%,8.60%,61.80%,54.30%,36.80%,14.30%,65.90%,60.50%,39.10%,15.70%,1.2,1.5,1.4,1.6,1.1,0.8,0.8,0.5,0,8,18,0,,8-May,18-Sep,,,8-May,18-Aug,,298,229,197,273,997,6.20%,10.60%,8.50%,12.90%,9.70%,8.30%,12.40%,15.30%,25.00%,15.10%,10.10%,7.90%,7.10%,2.20%,6.80%,0.60%,0.90%,0.00%,0.00%,0.40%,78.40%,82.30%,80.40%,65.50%,76.70%,0.551,48.70%,52.60%,45.70%,50.90%,0.234,33.60%,39.20%,22.40%,28.60%,25%,4%,15%,0.08,8%,26%,0%,0.5,35%,14%,29%,2%,10%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,NY,"Mineola, North Hempstead, Nassau County, New York, 11501, United States","(40.7492678, -73.6406845, 0.0)",40.7492678,-73.6406845
279,"ADVANCED FERTILITY SERVICES, PC",,NEW YORK,NEW YORK,"Hugh D. Melnick, MD",9,*,*,10,9-May,0 / *,* / *,0 / 10,* / 9,0 / *,* / *,0 / 10,9,*,*,10,9-May,0 / *,* / *,0 / 10,* / 9,0 / *,* / *,0 / 10,13,*,*,6,13-May,0 / *,* / *,0 / 6,* / 13,0 / *,* / *,0 / 6,1.8,,2,,8-May,,* / *,0 / 7,8-May,,* / *,0 / 7,8-May,,* / *,0 / 7,1,,1,1.3,1.5,,0.5,0.6,0,*,*,0,,0 / *,0 / *,,,0 / *,0 / *,,11,*,11,15,41,0 / *,0 / *,* / 7,* / 12,18.50%,* / 11,0 / *,* / 10,0 / 11,5.60%,0 / 11,0 / *,* / 11,* / 15,7.30%,* / 8,0 / *,0 / 8,0 / 8,7.40%,8-Jul,0 / *,* / 8,* / 8,48.10%,8-Aug,* / *,8-Aug,8-Aug,100.00%,0 / 8,0 / *,* / 8,0 / 8,3.70%,7%,0%,29%,0,10%,2%,5%,0.59,29%,10%,44%,17%,29%,No,Yes,Yes,Yes,Yes,No,Yes,0,NY,"New York, United States","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
280,CCRM NEW YORK,,NEW YORK,NEW YORK,"Janet M. Choi, MD",152,102,129,189,0.553,48.00%,31.00%,5.30%,0.52,44.10%,31.00%,5.30%,150,101,123,176,56.00%,48.50%,32.50%,5.70%,52.70%,44.60%,32.50%,5.70%,137,78,67,35,61.30%,62.80%,59.70%,28.60%,57.70%,57.70%,59.70%,28.60%,1.8,2.1,3.2,18.9,62.80%,52.70%,43.90%,2.40%,66.30%,56.40%,53.70%,2.40%,67.40%,56.40%,53.70%,2.40%,1.2,1.2,1.4,1.5,1,0.8,0.5,0,0,0,57,0,,,45.60%,,,,42.10%,,563,395,302,343,1603,0.00%,0.70%,1.40%,1.70%,0.80%,3.90%,3.60%,9.40%,16.50%,7.50%,37.50%,41.50%,28.80%,11.10%,31.20%,3.20%,0.90%,0.00%,0.00%,1.40%,98.40%,99.10%,97.80%,99.10%,98.60%,0.952,91.40%,89.90%,77.50%,89.50%,0.995,97.40%,96.60%,98.20%,98.20%,15%,7%,7%,0.08,5%,7%,0%,0.34,68%,9%,11%,4%,1%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,NY,"New York, United States","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
281,CENTER FOR HUMAN REPRODUCTION (CHR),,NEW YORK,NEW YORK,"Norbert Gleicher, MD",30,38,70,262,0.233,21.10%,11.40%,2.30%,0.167,13.20%,10.00%,2.30%,25,35,54,206,28.00%,22.90%,14.80%,2.90%,20.00%,14.30%,13.00%,2.90%,26,37,41,148,26.90%,21.60%,19.50%,4.10%,19.20%,13.50%,17.10%,4.10%,4.3,4.8,8.8,43.7,25.00%,* / 12,* / 15,4.60%,35.00%,* / 12,* / 15,4.60%,35.00%,* / 12,* / 15,4.60%,1.3,1.6,1.4,1.4,0.9,0.9,0.6,0.6,13,18,42,11,* / 13,* / 18,21.40%,* / 11,* / 13,* / 18,16.70%,* / 11,51,57,82,390,580,18.80%,23.10%,32.80%,19.60%,22.00%,11.10%,8.30%,21.70%,14.70%,14.60%,5.90%,19.30%,9.80%,7.20%,8.60%,8.60%,0.00%,2.60%,2.80%,3.10%,51.40%,51.50%,28.20%,33.20%,36.10%,0.8,78.80%,89.70%,84.00%,83.80%,0.143,9.10%,12.80%,8.00%,9.20%,21%,5%,6%,0.27,4%,<1%,0%,0.7,16%,3%,10%,1%,0%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,NY,"New York, United States","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
282,CHELSEA FERTILITY NYC,,NEW YORK,NEW YORK,"Paul Gindoff, MD",49,23,46,37,0.408,34.80%,17.40%,5.40%,0.388,26.10%,17.40%,5.40%,47,22,42,31,42.60%,36.40%,19.00%,6.50%,40.40%,27.30%,19.00%,6.50%,42,16,18,11,47.60%,16-Aug,18-Aug,* / 11,45.20%,16-Jun,18-Aug,* / 11,2.5,2.9,5.8,18.5,40.00%,17-Jul,15.40%,4.30%,51.40%,17-Aug,23.10%,4.30%,51.40%,17-Aug,26.90%,4.30%,1.2,1.1,1.7,1.5,0.9,0.8,0.3,0.3,0,0,8,0,,,* / 8,,,,* / 8,,99,61,56,84,300,3.00%,7.50%,16.20%,10.00%,8.40%,10.30%,12.10%,24.00%,26.90%,17.70%,12.10%,21.30%,5.40%,4.80%,10.70%,0.00%,0 / 18,0 / 16,0.00%,0.00%,93.30%,17 / 18,16 / 16,61.50%,85.60%,1,18 / 18,14 / 16,88.50%,94.40%,0.833,18-Sep,16-Oct,26.90%,56.70%,25%,2%,4%,0.17,4%,3%,0%,0.42,55%,3%,5%,1%,11%,Yes,No,Yes,Yes,No,Yes,Yes,0,NY,"New York, United States","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
283,COLUMBIA UNIVERSITY FERTILITY CENTER,,NEW YORK,NEW YORK,"Eric J. Forman, MD",118,136,222,224,0.475,32.40%,21.20%,10.70%,0.466,32.40%,20.30%,10.70%,109,126,186,178,51.40%,34.90%,25.30%,13.50%,50.50%,34.90%,24.20%,13.50%,118,103,120,54,47.50%,42.70%,39.20%,44.40%,46.60%,42.70%,37.50%,44.40%,2.1,3.1,4.7,9.3,51.90%,35.10%,24.70%,13.60%,59.50%,40.50%,30.90%,19.80%,60.80%,41.90%,34.00%,21.00%,1.3,1.3,1.5,1.6,1,0.8,0.5,0.3,*,0,75,15,0 / *,,57.30%,* / 15,0 / *,,54.70%,* / 15,554,488,502,618,2162,7.40%,9.50%,14.00%,13.70%,11.30%,9.10%,11.60%,11.70%,27.10%,15.30%,22.20%,23.00%,20.70%,10.00%,18.50%,0.00%,0.00%,0.60%,0.00%,0.10%,91.70%,92.50%,91.60%,89.00%,91.10%,0.87,91.30%,91.60%,77.00%,86.40%,0.583,57.80%,72.10%,42.40%,56.90%,55%,7%,11%,0.18,29%,2%,0%,0.4,57%,9%,12%,7%,1%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,NY,"New York, United States","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
284,EXTEND FERTILITY,,NEW YORK,NEW YORK,"Joshua U. Klein, MD",29,23,23,15,0.379,21.70%,13.00%,0 / 15,0.345,21.70%,13.00%,0 / 15,19,9,8,8,19-Nov,9-May,* / 8,0 / 8,19-Oct,9-May,* / 8,0 / 8,19,5,*,*,19-Nov,5-May,* / *,0 / *,19-Oct,5-May,* / *,0 / *,2.6,4.6,7.7,,44.00%,19-May,* / 15,0 / 10,44.00%,19-May,* / 15,0 / 10,44.00%,19-May,* / 15,0 / 10,1.1,1,1.3,1.1,0.7,0.3,0.2,0.2,0,0,*,0,,,0 / *,,,,0 / *,,474,413,239,116,1242,4.60%,5.30%,7.50%,12.10%,6.10%,2.00%,1.50%,1.40%,5.80%,2.00%,66.20%,88.10%,83.70%,46.60%,75.00%,0.00%,0 / 13,0 / 13,0 / 16,0.00%,100.00%,13 / 13,13 / 13,16 / 16,100.00%,0.892,13-Aug,13-Aug,14 / 16,82.20%,0.831,13-Oct,13-Dec,14 / 16,84.10%,0%,<1%,0%,0,0%,0%,0%,0,91%,0%,0%,0%,16%,No,No,Yes,Yes,No,Yes,Yes,0,NY,"New York, United States","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
285,FERNY NY,,NEW YORK,NEW YORK,"Amir R Radjabi, MD",0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,*,,,,* / *,,,,0 / *,41,16,10,9,76,0.00%,0 / 10,0 / 7,0 / 6,0.00%,0.00%,0 / 16,0 / 10,* / 9,1.30%,19.50%,* / 16,0 / 10,* / 9,15.80%,0 / 17,0 / 6,0 / *,0 / *,0.00%,17 / 17,6-Jun,* / *,* / *,100.00%,17 / 17,6-Jun,* / *,* / *,100.00%,14 / 17,6-Jun,* / *,* / *,86.70%,1%,0%,1%,0.11,4%,16%,0%,0.09,95%,7%,0%,3%,17%,No,No,Yes,Yes,No,No,Yes,0,NY,"New York, United States","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
286,"GENERATION NEXT FERTILITY, PLLC",,NEW YORK,NEW YORK,"Janelle Luk, MD",88,157,186,347,0.284,19.10%,14.50%,2.90%,0.273,17.80%,14.00%,2.90%,85,151,174,312,29.40%,19.90%,15.50%,3.20%,28.20%,18.50%,14.90%,3.20%,62,104,98,130,40.30%,28.80%,27.60%,7.70%,38.70%,26.90%,26.50%,7.70%,3.5,5.2,6.9,34.7,22.50%,14.60%,22.90%,0.00%,25.00%,20.80%,25.70%,2.20%,27.50%,25.00%,25.70%,2.20%,1.3,1.6,1.4,1.8,0.6,0.6,0.5,0.4,*,8,11,0,* / *,8-May,* / 11,,* / *,8-May,* / 11,,184,176,269,575,1204,2.60%,5.20%,13.30%,12.30%,10.40%,7.70%,7.60%,14.90%,18.30%,14.20%,0.50%,0.60%,0.70%,0.00%,0.30%,0.00%,1.20%,0.00%,0.00%,0.20%,77.20%,63.50%,67.10%,58.80%,64.50%,0.924,91.80%,78.00%,88.10%,87.70%,0.557,38.80%,28.00%,14.90%,29.30%,13%,4%,5%,0.04,8%,<1%,0%,0.44,55%,8%,10%,9%,23%,Yes,No,Yes,Yes,No,No,Yes,0,NY,"New York, United States","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
287,"GLOBAL FERTILITY & GENETICS, NY",,NEW YORK,NEW YORK,"Kevin Doody, MD",*,8,*,*,0 / *,0 / 8,0 / *,0 / *,0 / *,0 / 8,0 / *,0 / *,*,8,*,*,0 / *,0 / 8,0 / *,0 / *,0 / *,0 / 8,0 / *,0 / *,0,0,*,*,,,0 / *,0 / *,,,0 / *,0 / *,,,,,0 / *,0 / 6,0 / *,0 / *,0 / *,0 / 6,0 / *,0 / *,0 / *,0 / 6,0 / *,0 / *,1,1,1,1,0,0,0,0.3,*,*,0,0,0 / *,* / *,,,0 / *,* / *,,,6,9,11,15,41,0 / 6,* / 9,* / 10,* / 11,8.30%,0 / 6,0 / 8,* / 10,* / 14,5.30%,* / 6,9-May,* / 11,15-May,39.00%,0 / *,,* / *,* / 6,* / 12,0 / *,,* / *,* / 6,* / 12,* / *,,* / *,* / 6,12-Sep,0 / *,,* / *,* / 6,* / 12,0%,0%,2%,0.05,0%,0%,0%,0.24,61%,5%,29%,2%,0%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,NY,"New York, United States","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
288,KINDBODY-NEW YORK,,NEW YORK,NEW YORK,"Aimee Seungdamrong, MD",0,*,0,*,,0 / *,,0 / *,,0 / *,,0 / *,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,0 / *,,0 / *,,0 / *,,0 / *,,0 / *,,0 / *,,1,,1,,0,,0,0,0,0,0,,,,,,,,,82,87,37,19,225,1.30%,3.70%,10.80%,* / 19,5.50%,2.50%,9.50%,6.10%,* / 15,6.60%,84.10%,80.50%,78.40%,13 / 19,80.40%,0 / *,0 / *,,,0 / *,* / *,* / *,,,* / *,* / *,0 / *,,,* / *,* / *,0 / *,,,* / *,1%,2%,2%,0.02,0%,4%,0%,0.09,93%,<1%,28%,10%,1%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,NY,"New York, United States","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
